,Year,Value,Total,month
0,1880-01-01,-0.05,2.75,January
1,1880-02-01,-0.14,3.06,February
2,1880-03-01,-0.09,4.91,March
3,1880-04-01,-0.05,8.049999999999999,April
4,1880-05-01,-0.09,11.01,May
5,1880-06-01,-0.12,13.180000000000001,June
6,1880-07-01,-0.13,14.17,July
7,1880-08-01,-0.06,13.74,August
8,1880-09-01,-0.11,11.89,September
9,1880-10-01,-0.23,9.07,October
10,1880-11-01,-0.24,5.66,November
11,1880-12-01,-0.1,3.6,December
12,1881-01-01,-0.08,2.7199999999999998,January
13,1881-02-01,-0.06,3.14,February
14,1881-03-01,0.05,5.05,March
15,1881-04-01,0.07,8.17,April
16,1881-05-01,0.03,11.129999999999999,May
17,1881-06-01,-0.12,13.180000000000001,June
18,1881-07-01,-0.07,14.23,July
19,1881-08-01,-0.06,13.74,August
20,1881-09-01,-0.17,11.83,September
21,1881-10-01,-0.3,9.0,October
22,1881-11-01,-0.27,5.630000000000001,November
23,1881-12-01,-0.03,3.6700000000000004,December
24,1882-01-01,0.09,2.8899999999999997,January
25,1882-02-01,0.02,3.22,February
26,1882-03-01,-0.01,4.99,March
27,1882-04-01,-0.14,7.96,April
28,1882-05-01,-0.14,10.959999999999999,May
29,1882-06-01,-0.14,13.16,June
30,1882-07-01,-0.12,14.180000000000001,July
31,1882-08-01,-0.08,13.72,August
32,1882-09-01,-0.1,11.9,September
33,1882-10-01,-0.23,9.07,October
34,1882-11-01,-0.15,5.75,November
35,1882-12-01,-0.16,3.54,December
36,1883-01-01,-0.27,2.53,January
37,1883-02-01,-0.35,2.85,February
38,1883-03-01,-0.18,4.82,March
39,1883-04-01,-0.2,7.8999999999999995,April
40,1883-05-01,-0.16,10.94,May
41,1883-06-01,0.0,13.3,June
42,1883-07-01,-0.11,14.190000000000001,July
43,1883-08-01,-0.11,13.690000000000001,August
44,1883-09-01,-0.18,11.82,September
45,1883-10-01,-0.22,9.08,October
46,1883-11-01,-0.24,5.66,November
47,1883-12-01,-0.14,3.56,December
48,1884-01-01,-0.23,2.57,January
49,1884-02-01,-0.18,3.02,February
50,1884-03-01,-0.28,4.72,March
51,1884-04-01,-0.27,7.83,April
52,1884-05-01,-0.22,10.879999999999999,May
53,1884-06-01,-0.26,13.040000000000001,June
54,1884-07-01,-0.32,13.98,July
55,1884-08-01,-0.28,13.520000000000001,August
56,1884-09-01,-0.28,11.72,September
57,1884-10-01,-0.27,9.030000000000001,October
58,1884-11-01,-0.34,5.5600000000000005,November
59,1884-12-01,-0.24,3.46,December
60,1885-01-01,-0.45,2.3499999999999996,January
